meeting_key,session_key,driver_number,lap_number,date_start,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
1238,9539,22,4,2024-06-23T13:07:30.339000+00:00,24.068,33.525,24.814,266.0,264,False,82.407,"[2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2049, 2048, 2048]",329.0
1238,9539,20,4,2024-06-23T13:07:30.619000+00:00,23.898,33.74,24.742,240.0,256,False,82.38,"[2048, 2049, 2049, 2048, 2049, 2049, 2049]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2049, 2049, 2049]",338.0
1238,9539,24,4,2024-06-23T13:07:31.331000+00:00,23.827,33.607,24.924,239.0,250,False,82.358,"[2048, 2048, 2049, 2049, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2048, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2049, 2049]",328.0
1238,9539,3,4,2024-06-23T13:07:32.037000+00:00,23.986,33.437,24.951,248.0,253,False,82.374,"[2048, 2048, 2049, 2049, 2048, 2048, 2049]","[2048, 2048, 2048, 2049, 2049, 2049, 2049, 2048]","[2048, 2048, 2048, 2049, 2049, 2048]",332.0
1238,9539,2,4,2024-06-23T13:07:32.428000+00:00,24.258,33.298,25.001,258.0,270,False,82.557,"[2048, 2049, 2049, 2048, 2048, 2048, 2049]","[2049, 2048, 2048, 2049, 2048, 2048, 2049, 2049]","[2048, 2048, 2048, 2049, 2048, 2048]",330.0
1238,9539,23,4,2024-06-23T13:07:33.110000+00:00,24.318,33.118,24.842,250.0,255,False,82.278,"[None, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2049, 2049]","[2048, 2048, 2048, 2049, 2048, 2049]",329.0
1238,9539,1,5,2024-06-23T13:08:38.101000+00:00,24.165,32.393,24.269,260.0,262,False,80.827,"[None, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",296.0
1238,9539,63,5,2024-06-23T13:08:39.238000+00:00,24.132,32.493,24.298,264.0,274,False,80.923,"[None, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2049, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",303.0
1238,9539,4,5,2024-06-23T13:08:39.999000+00:00,24.079,32.638,24.417,249.0,259,False,81.134,"[None, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",324.0
1238,9539,44,5,2024-06-23T13:08:40.920000+00:00,23.672,32.908,24.47,255.0,263,False,81.05,"[2049, 2049, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048]",329.0
